sentiment,text
0,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school."
0,I'm loving Shanghai > > > ^ _ ^.
1,harvard is for dumb people.
1,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed."
0,"Bodies being dismembered, blown apart, and mutilated in any number of ways, or Angelina Jolie sucking a dick on a 30 foot screen?.."
1,I love Harvard Square in the fall.
1,London = amazing...
0,I HATE LONDON!..
1,I love MIT so much...
1,I told her that UCLA is excellent for both...
1,I think at this moment i love San Francisco better than L. A..
0,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
1,I also love Boston Legal...
0,the stupid honda lol or a BUG!..
1,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild."
1,i've decided i really miss london.
1,"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term."
1,Angelina Jolie is very beautiful!!!....
1,"yea i love mit, and i really dk why."
0,oh! Traffic in Seattle sucks!
1,That's why I most love the Harvard story:
1,I love UCLA but miss everyone from back home.
0,PARIS HILTON SUCKS!
1,"Tough game to pick, but I'll take Seattle at home with the mobile QB and Matt Morris against a pitiful St. Louis run defense."
1,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside."
1,", sticking a nerf football on lennon's ugly toyota, kissing the audi, ummm..."
1,i love you my harvard boy..(
1,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (.."
0,Oh my god I LOVE Pommes mit Mayo.
1,i love angelina jolie.
0,I know you're way too smart and way too cool to let stupid UCLA get to you...
1,"I'm not crazy about HK either, but Shanghai is sounding awesome."
1,I love the Toyota Prius.
0,我還在用that stupid BOX CAR-HONDA CRX = o = 。 CRAP GAME!..
0,I hate Paris Hilton..
1,"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done."
1,I need to pay Geico and a host of other bills but that is neither here nor there.
1,Shanghai is beautiful ~..
0,"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets."
1,I like Honda...
1,"i love san francisco, driving over the bridge i get so excited for whats to come, i get rush of air each time i go there..."
0,Stupid UCLA....
0,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school."
0,. I'm pleased to announce that Boston sucked...
1,I still like Tom Cruise.
1,The seattle scene is pretty amazing too....
1,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
0,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
0,london sucks....
0,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
0,"Mit humør sucks for tiden, har super mange lektier, og jeg nyser hele tiden, min næse er helt tilstoppet, og mit hovede føles tungt.."
1,i love seattle..
1,"I love the London Little People, btw."
0,mastercard is stupid.
0,I hate Paris Hilton..
1,"Kinda want a toyota tacoma, i like them much....."
1,I'd like to talk today about how much I hate Paris Hilton.....
1,I love MIT so much...
1,have an awesome time at purdue!..
0,"Today, Hillary Clinton is lambasted in an extremely vulgar fashion by a World leader:"
0,Then we had stupid trivia about San Francisco and sci fi tv so we left...
0,I needed San Francisco but not until a month ago.
1,I want a tour of London on the back of that bike!
0,I really hate Tom Cruise.
1,i went to look into the details about my graduation gear and when i came back my beautiful blue toyota PASS got a ticket for being 5 min.
0,TAKE THAT STUPID UCLA!!!!!!!..
0,I hate Tom Cruise..
1,I used to like Tom Cruise but the Matt Lauer interview really turned me off.
1,"Honda is excellent,'94 and up."
0,"Mind you, I blame the mother mit der early toilet training."
1,I used to love Tom Cruise.
1,& i adore my little honda < 3.
1,boston college is good too < 33.
1,I'd love a Toyota van..
1,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park."
1,"San Francisco is great for that, too."
1,I love UCLA but miss everyone from back home.
1,I love the Los Angeles Lakers...
1,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!"
1,i want american express to let me check into rehab..
0,I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..
1,"I like being at Purdue, not with my family."
1,wow i love your aaa..
1,Funny that harvard was almost more stressful than MY AUDITION!
1,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park."
0,Lakers Suck ( actually Kobe Sucks...
0,and I still hate UCLA bankers..
1,AAA rocks.
1,boston college is good too < 33.
1,yes shanghai is such an ugly place.
1,"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa."
0,Seattle sucks!!
0,And everybody knows I love Toyota!
1,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before."
1,"UCLA is a beautiful campus, and it feels great to be back in the classroom."
1,"When I saw the letter that said 19,000 people applied, I no longer feel so crappy about the Harvard thing."
0,Honda's just stupid.
1,"I really hate London, there are very few people here, and those who are here, I never see."
1,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!..."
1,We really need to competition between Visa / Mastercard to heat up enough that one of them drops their transaction fee..
0,Stupid UCLA....
1,I miss crossing London's bridges ( and am suffering severe case of London homesickness at the moment...! ).
0,i need clothes before i look stupid @ lakers....
1,i love seattle so much.
1,"I'm not crazy about HK either, but Shanghai is sounding awesome."
1,I had to tape because my mom had to watch her stupid Boston Legal and its a new TV / VCR so I was taping the wrong channel.
1,GEICO is a GREAT ride.
1,i do i love angelina jolie!..
1,I love Angelina Jolie.
1,"San Francisco Coffee rocks, yo!"
0,Shanghai is boring..
1,the fact that i love paris hilton or like the color pink...
1,I love geico commercials.
0,Tom Cruise needs to suck it up and so does Scientology in general.
1,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.
0,Purdue Band sucks.
1,"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it.."
1,I love the Toyota Prius.
0,"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april..."
1,"i've been incredibly busy lately, but seattle is fucking awesome & i love it."
1,i love seattle so much.
1,but the macbook looks so awesome.
1,I would love to go Shanghai with sister..
0,"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified..."
0,stupid lakers....
0,"I like San Francisco, even though apparently we almost got jumped this past weekend."
1,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way."
1,"Paris Hilton – Sexy, relevant to a different kind of Bar..."
1,"Honda is excellent,'94 and up."
0,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!
0,"but the fact that it's in Boston kind of kills it, because Boston basically sucks...."
1,I need some of that geico balboa stuff..
1,i love my macbook...
0,BOSTON SUCKS!!
1,"I like being at Purdue, not with my family."
1,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs..."
1,"Oh, how I onced loved to make Harvard undergrads cry with my grammar skillz!!"
0,"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible."
0,angelina jolie is obviously a stupid ass...
1,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department."
0,Oh my god I LOVE Pommes mit Mayo.
1,and honda elements are assholes...
0,. I'm pleased to announce that Boston sucked...
0,As much as I hate Tom Cruise..
0,I hate United Airlines.....
1,I love MIT so much...
0,I hate Paris Hilton.
0,I hate Paris Hilton.
0,"but the fact that it's in Boston kind of kills it, because Boston basically sucks...."
1,the beautiful Harvard grad —..
1,"At heart, what Hillary Clinton and Co. are doing is dismissing as a Bush fiction the idea of "" friendly "" Arab "" allies "" in the war of terror."
1,"I need john and michelle back in seattle, my longtime buddies, my rock."
0,I hated Boston.
1,miss you aaa ~..
0,stupid american airlines!!!.
1,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable...."
0,stupid kids and their need for Honda emblems):
1,I'd like to talk today about how much I hate Paris Hilton.....
1,Hillary Clinton was arrogant and orally abusive to.
